Type;Year;URL;Contact;Address;Phone;Fax;Contact2
Office supplies;1961;http://www.mmofficesupply.com;M & M Office & School Supply;Mr. Craig Marsh;623 Massachusetts St.,Lawrence, KS  66044;(785) 843-0763;Fax (785) 843-0805;Mr. Craig Marsh
Office supplies;1997;http://www.officedepot.com;Office Depot  #419;Mr. Steve Martin;2525 Iowa St.,Lawrence, KS  66046;(785) 841-6688;Fax (785) 841-8668;Mr. Steve Martin
Electrician;2005;http://www.lynnelectric.com;Lynn Electric, Inc.;Mr. George Grieb;725 N. 2nd St., Ste. K,Lawrence, KS  66044;(785) 843-5079;Fax (785) 749-5810;Mr. George Grieb
Schools Public;2005;;;Ms. Charlotte Anderson;1901 Louisiana St.,Lawrence, KS  66046;(785) 917-0532;Ms. Charlotte Anderson
Schools Public;1992;http://www.usd497.org;Lawrence Public Schools;Dr. Rick Doll;110 McDonald Dr.,Lawrence, KS  66044;(785) 832-5000;Fax (785) 832-5099;Dr. Rick Doll
Real estate Commercial;2001;http://www.colliers.com;Colliers International;Ms. Marilyn Bittenbender,Mr. Kelvin Heck,Ms. Allison Vance Moore,Ms. Kirsten Flory;805 New Hampshire St., Ste. C,Lawrence, KS  66044;(785) 865-5100;Fax (785) 865-3842;Ms. Marilyn Bittenbender,Mr. Kelvin Heck,Ms. Allison Vance Moore,Ms. Kirsten Flory
Real estate Commercial;2011;http://www.johnsongroupllc.com;The Johnson Group, L.L.C.;Mr. Lance Johnson;850 E. 13th St., Ste. B,Lawrence, KS  66044;(785) 550-7126;Mr. Lance Johnson
Real estate Commercial;1988;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Mr. Doug Brown;1501 Kasold Dr.,Lawrence, KS  66047;(785) 838-8244;Fax (785) 843-2466;Mr. Doug Brown
Real estate Commercial;1979;http://www.stephensre.com;Stephens Real Estate, Inc.;Mr. Pat McCandless, ABR,Ms. Lee Beth Dever,Ms. Mary Lou Roberts, CRS, GRI,Ms. Cindy Folsom,Oliver Minnis,Mr. Randy Barnes,Mr. Chris Earl;2701 W. 6th St.,Lawrence, KS  66049;(785) 841-4500;Fax (785) 841-8437;Mr. Pat McCandless, ABR,Ms. Lee Beth Dever,Ms. Mary Lou Roberts, CRS, GRI,Ms. Cindy Folsom,Oliver Minnis,Mr. Randy Barnes,Mr. Chris Earl
Community colleges;2011;http://www.jccc.edu/lawrence;Johnson County Community College;Mr. Tim Gelvin,Ms. Loralee Stevens;2145 Louisiana St.,Lawrence, KS  66044;(785) 842-1157;Fax (913) 469-7630;Mr. Tim Gelvin,Ms. Loralee Stevens
Community colleges;2007;http://www.neosho.edu;Neosho County Community College;Mr. Dale Ernst;900 E. Logan,Ottawa, KS  66067;(785) 242-2067;Fax (785) 242-2068;Mr. Dale Ernst
Data processing;2011;http://www.rezolvegroup.com;The Rezolve Group/Student Financial Aid Services, Inc.;Mr. Bob Szrot,Mr. Steve Hain,Ms. Stacey Rhoads,Ms. Jen Sherwood;1025 N. 3rd St., Ste. 113,Lawrence, KS  66044;(916) 629-7016;Mr. Bob Szrot,Mr. Steve Hain,Ms. Stacey Rhoads,Ms. Jen Sherwood
Remodeling & repairs;1991;http://www.appletreehomesinc.com;Apple Tree Homes, Inc.;Mr. Greg Rau;2405 Oxford Rd.,Lawrence, KS  66049;(785) 832-1414;Fax (785) 832-0711;Mr. Greg Rau
Remodeling & repairs;2011;http://www.kbpaintingllc.com;KB Painting, L.L.C.;Ms. Kate Boyd;1835 W. 27th Terr.,Lawrence, KS  66046;(785) 423-4464;Ms. Kate Boyd
Remodeling & repairs;2010;http://www.naturalbreeze.com;Natural Breeze Remodeling;Mr. Neil Gaskin,Mr. Terry Finton;1440 Wakarusa Dr., Ste. 800,Lawrence, KS  66049;(785) 749-1855;Fax (785) 749-0271;Mr. Neil Gaskin,Mr. Terry Finton
Remodeling & repairs;2011;http://www.rmdlawrence.com;Renovation MD, L.L.C.;Mr. Damon Hieb;2040 W. 31st St., Ste. G149,Lawrence, KS  66046;(785) 764-0216;Mr. Damon Hieb
Remodeling & repairs;2011;http://www.salbconstruction.com;Salb Construction, Inc.;Mr. Frank Salb,Ms. Sally Salb;P.O. Box 3366,Lawrence, KS  66046;(785) 843-9523;Fax (785) 841-1340;Mr. Frank Salb,Ms. Sally Salb
House cleaning services;1985;http://buckinghampalaceinc.com;Buckingham Palace Housecleaning;Ms. Jennifer Lutz;Division of Buckingham Palace, Inc.,939 Iowa St.,Lawrence, KS  66044;(785) 842-6264;Fax (785) 842-6250;Ms. Jennifer Lutz
Apartments Senior living;2011;http://www.seniorlivinginstyle.com;Meadowlark Estates;Mr./Mrs. Larry & Phyllis Peer;4430 Bauer Farm Dr.,Lawrence, KS  66049;(785) 842-2400;Mr./Mrs. Larry & Phyllis Peer
Tax & accounting services;2006;http://www.hrblock.com;H & R Block;Mr. Jeff Eldridge;520 W. 23rd St., Ste. E,Lawrence, KS  66046;(785) 842-2240;Fax (785) 842-4303;Mr. Jeff Eldridge
Tax & accounting services;2007;http://www.jacksonhewitt.com;Jackson Hewitt Tax Service;Ms. Lizz Crist;947 E. 23rd St.,Lawrence, KS  66046;(785) 331-4577;Ms. Lizz Crist
Collection agencies;2013;http://www.credit-mgmt.com;Credit Management Services, Inc.;Mr. Jim L'Heureux,Mr. Don Anderson;105 N. Wheeler Ave.,P.O. Box 1512,Grand Island, NE  68802;(800) 658-4447;Fax (308) 384-5617;Mr. Jim L'Heureux,Mr. Don Anderson
Computer Consulting services;2007;http://www.hollandtechnologies.com;Holland Technologies, Inc.;Ms. Barbara Holland,Mr. Tom Holland;961 E. 1600 Rd.,Baldwin City, KS  66006;(785) 865-0660;Fax (785) 865-0989;Ms. Barbara Holland,Mr. Tom Holland
Computer Consulting services;2010;http://seamlessdata.com;Seamless Data Systems, Inc.;Mrs. Karen L Belford,Ms. Bobette Puderbaugh;123 W. 8th St., Ste. 202,Lawrence, KS  66044;(785) 856-8585;Fax (620) 343-8500;Mrs. Karen L Belford,Ms. Bobette Puderbaugh
Computer Consulting services;2006;http://www.unicomputers.com;UNI Computers;Mr. Keith Keltner,Amin Emami;1403 W. 23rd St.,Lawrence, KS  66046;(785) 841-4611;Fax (785) 841-3461;Mr. Keith Keltner,Amin Emami
Massage & therapeutic services;2014;http://www.bodyboutique.net;Body Boutique;Ms. Lorinda Hartzler,Ms. Kristina Clement,Ms. Erica Eden;2330 Yale Rd.,Lawrence, KS  66049;(785) 749-2424;Ms. Lorinda Hartzler,Ms. Kristina Clement,Ms. Erica Eden
Massage & therapeutic services;2011;;;Ms. Lisa J. Lahm;4105 W. 6th St., Ste. A8,Lawrence, KS  66049;(785) 764-4965;Ms. Lisa J. Lahm
Massage & therapeutic services;2007;http://www.channelsofhealing.com;Channels of Healing;Sabrina Channel,Mr. Jason Brotbeck;2201 W. 25th St., Ste. H,Lawrence, KS  66047;(785) 856-4433;Sabrina Channel,Mr. Jason Brotbeck
Massage & therapeutic services;2000;http://www.lawrencetherapyservices.com;Lawrence Therapy Services, L.L.C.;Ms. Laura Bennetts;2200 Harvard Rd., Ste. 101,Lawrence, KS  66049;(785) 842-0656;Fax (785) 842-0071;Ms. Laura Bennetts
Massage & therapeutic services;2008;http://www.massageenvy.com;Massage Envy;Amy Gilliland;4931 W. 6th St., Ste. 110,Lawrence, KS  66049;(785) 841-2000;Amy Gilliland
Jewelry consultant;2013;http://julienealjewelry.com;Julie Neal Jewelry;Ms. Julie Neal;789 N 1500 Rd.,Lawrence, KS  66049;(785) 550-9319;Fax (785) 843-9124;Ms. Julie Neal
Bio sciences/technology;2012;http://www.btbcku.com;Bioscience and Technology Business Center, Inc. - BTBC;Kerri Johnson,Mr. G R Underwood;2029 Becker Dr., Ste. 100,Lawrence, KS  66047;(785) 832-2110;Fax (785) 832-8234;Kerri Johnson,Mr. G R Underwood
Funeral homes & directors;1975;http://www.rumsey-yost.com;Rumsey-Yost Funeral Home and Crematory;Mr. Barton J. Yost,Mr. Matt Daigh,Mr. H. Proctor Crow Jr.;601 Indiana St.,Lawrence, KS  66044;(785) 843-5111;Fax (785) 842-0116;Mr. Barton J. Yost,Mr. Matt Daigh,Mr. H. Proctor Crow Jr.
Funeral homes & directors;1976;http://www.warrenmcelwain.com;Warren-McElwain Mortuary;Mr. Larry K. McElwain,Mr. Philip Padden,Mr. Terry Cavanaugh;120 W. 13th St.,Lawrence, KS  66044;(785) 843-1120;Fax (785) 843-1182;Mr. Larry K. McElwain,Mr. Philip Padden,Mr. Terry Cavanaugh
Electrical equipment & supplies;1975;;;Mr. Tom Patchen, Jr.;602 E. 9th St.,P.O. Box 1060,Lawrence, KS  66044;(785) 843-4522;Fax (785) 843-4528;Mr. Tom Patchen, Jr.
Electrical equipment & supplies;1975;http://www.stanion.com;Stanion Wholesale Electric Co.;Mr. John Keller;2958 Four Wheel Dr.,Lawrence, KS  66047;(785) 841-8420;Fax (785) 841-0010;Mr. John Keller
